epoch,train_loss,train_acc,test_loss,test_acc
1,0.5749880849591884,0.8315287402274343,0.2907103271104239,0.9139636075949367
2,0.2552143919371719,0.9244958244491827,0.20775184399451657,0.9408623417721519
3,0.2058662679158225,0.9401485874200426,0.18612365356945013,0.9484770569620253
4,0.17579714490346082,0.9489050284292821,0.15494559031529342,0.9555973101265823
5,0.15696423793649383,0.954974013859275,0.1353312699771471,0.9632120253164557
